FECHA,CODIGO ESTACION,NOMBRE ESTACION,COORDENADA X,COORDENADA Y,PARAMETRO(TIPO),VALOR,UNIDAD DE MEDIDA
02/10/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/11/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/12/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,3.6,mm
02/13/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/14/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/15/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/16/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/18/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/19/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0.6,mm
02/20/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/21/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0.1,mm
02/22/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/23/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/24/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/25/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/26/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/27/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
02/29/2024 12:00:00 AM,2610000102,LA BALSA,1053276.866,833314.936,PRECIPITACIÓN,0,mm
01/01/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/02/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/03/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/04/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/05/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
01/06/2024 12:00:00 AM,2610000103,CRUCES,1128630.124,1006201.075,PRECIPITACIÓN,0,mm
